Buyer_Country,Inquiry_Text,Category
Chile,"Hi, we are a garment wholesaler based in Berlin and looking to source 5000 meters of modal fabric. Need export quality with OEKO-TEX certification if possible. Pls share price list and MOQ details.",Textiles
Ghana,"Dear sir/madam, our company imports cotton denim fabric in bulk for retail distribution. We need 300 pieces per shipment, solid colors preferred. Can you send catalogue and best FOB price?",Textiles
United Kingdom,"Hello, I am purchasing manager at boutique company in Nairobi. We require tablecloths made from organic cotton. Please confirm if you are manufacturer or trader? Also need OEKO-TEX cert.",Textiles
United Kingdom,"Hi, I am purchasing for a restaurant chain. We need authentic Indian mustard seeds — not the diluted quality. Please share origin details and moisture content specs. Trial order 100 kgs.",Spices
New Zealand,We are a trading company handling cumin seeds imports. Need competitive price for 250 MT consignment. L/C at sight payment acceptable. Please send proforma invoice format.,Agriculture
United States,Our retail brand is launching an Indian origin cumin seeds product line. We need traceable sourcing with farm details if possible. Small first order of 10000 kgs to test quality.,Agriculture
Italy,"Hi, I am looking for Indian non-basmati rice for export to Italy. Our buyer needs consistent supply throughout the year. What is your capacity per month and what is your price for 1000 tons?",Agriculture
Sweden,We distribute sarees in our local market and need a reliable Indian exporter. Quality control is very important for us. Please send samples first before we discuss bulk order of 250 pcs.,Textiles
Nigeria,I represent a chain of specialty stores. We are interested in ethnic Indian hosiery for our festive season collection. Need 1000 assorted pieces with good packaging.,Textiles
Saudi Arabia,We distribute spices to ethnic grocery stores. Looking for star anise supplier with consistent quality. Our customers are Indian diaspora so they know quality. Please send price for 50 kgs CIF.,Spices
Belgium,"Hi, I am purchasing for a restaurant chain. We need authentic Indian red chilli powder — not the diluted quality. Please share origin details and moisture content specs. Trial order 100 kgs.",Spices
Germany,We need non-basmati rice for our manufacturing unit. The product should be free from pesticide residue — we do strict lab testing at our end. Please share your quality certifications and last 3 shipment test reports.,Agriculture
Indonesia,Urgent requirement for modal fabric rolls for our garment factory. Need consistent quality batch to batch. MOQ acceptable upto 800 meters. Share TNA and payment terms.,Textiles
Chile,"Dear exporter, I am looking for authentic Indian dhokra art pieces for my online store. Customers want handmade products with story behind them. Can you provide artisan details and provenance info?",Handicrafts
Spain,We need wheat flour for our manufacturing unit. The product should be free from pesticide residue — we do strict lab testing at our end. Please share your quality certifications and last 3 shipment test reports.,Agriculture
Peru,"We want to buy khadi scarves and stoles for our boutique chain. Quality should be good, no compromise on that. Let me know if you can do private labeling as well. Approx 100 pcs initial order.",Textiles
South Africa,We are a trading company handling cumin seeds imports. Need competitive price for 300 MT consignment. L/C at sight payment acceptable. Please send proforma invoice format.,Agriculture
Chile,"Hi, I am purchasing for a restaurant chain. We need authentic Indian black pepper — not the diluted quality. Please share origin details and moisture content specs. Trial order 50 kgs.",Spices
Nepal,"Hello, I am purchasing manager at departmental company in Amsterdam. We require t-shirts made from organic cotton. Please confirm if you are manufacturer or trader? Also need OEKO-TEX cert.",Textiles
Kenya,"Hello, I am purchasing manager at e-commerce company in Toronto. We require denim fabric made from organic cotton. Please confirm if you are manufacturer or trader? Also need OEKO-TEX cert.",Textiles
Malaysia,We are a wholesale auto parts importer. Need LED lights urgently for a contract we have won. Can you do 50 units in 4 weeks? Please quote best price with DDP terms.,Auto Parts
Italy,"Dear exporter, I am looking for authentic Indian terracotta pottery for my online store. Customers want handmade products with story behind them. Can you provide artisan details and provenance info?",Handicrafts
Ghana,We distribute spices to ethnic grocery stores. Looking for star anise supplier with consistent quality. Our customers are Indian diaspora so they know quality. Please send price for 100 kgs CIF.,Spices
Bangladesh,Our food manufacturing unit requires cumin seeds as raw material. We do own lab testing. Need ASTA grade with full traceability documentation. Can you supply 10000 kgs per month?,Spices
Netherlands,"Hello sir, we are new importer trying to establish spice import business. Can you guide us on process and also quote for turmeric powder — starting small with 1000 kgs to understand market.",Spices
Canada,Looking to import chilli peppers — we supply to supermarket chains here. Packaging should be bulk containers and labeled as per Canada import regulations. Pl confirm if you can arrange.,Agriculture
Hong Kong,Urgent requirement for polyester blended fabric rolls for our garment factory. Need consistent quality batch to batch. MOQ acceptable upto 250 meters. Share TNA and payment terms.,Textiles
Egypt,We distribute spices to ethnic grocery stores. Looking for turmeric powder supplier with consistent quality. Our customers are Indian diaspora so they know quality. Please send price for 1500 kgs CIF.,Spices
Peru,Looking for supplier of bamboo kurtas — we have been buying from China but want to shift to India. Can you match competitive pricing? Our annual requirement is around 200 units.,Textiles
Bangladesh,We are a trading company handling wheat flour imports. Need competitive price for 500 MT consignment. L/C at sight payment acceptable. Please send proforma invoice format.,Agriculture
Tanzania,"Dear exporter, I am looking for authentic Indian stone carvings for my online store. Customers want handmade products with story behind them. Can you provide artisan details and provenance info?",Handicrafts
Australia,Our gift company imports handicrafts from various countries. Indian dhokra art pieces is in demand here. Please share price list for 2000 pcs MOQ. We need consistent supply every quarter.,Handicrafts
